V,pH,derpH,d,derdpH
1.3,2.32,0.0327544747065698,0.0327544747065698,-0.00829773595824464
2.2,2.35,0.0337380488359646,0.0337380488359646,0.00066043042493698
3,2.38,0.0346123369509821,0.0346123369509821,0.00862324498776508
4,2.41,0.0452837643228351,0.0452837643228351,0.0215658837798967
5,2.45,0.0729999999999997,0.0729999999999997,0.0411704884534922
6,2.54,0.125,0.125,0.0675627387743726
7,2.68,0.20060666137986,0.20060666137986,0.0950059049693349
8,2.92,0.319294127504767,0.319294127504767,0.0942014600962123
8.5,3.09,0.376933725269481,0.376933725269481,0.0584361239038539
9.1,3.36,0.404294573643464,0.404294573643464,-0.0101096109288713
9.5,3.53,0.382453110991573,0.382453110991573,-0.0526119256646544
10,3.71,0.329580990545264,0.329580990545264,-0.0884560860856112
10.5,3.85,0.282000000000021,0.282000000000021,-0.0855902260108253
11,3.98,0.242000000000011,0.242000000000011,-0.0731135427681012
11.5,4.1,0.212268041237159,0.212268041237159,-0.0584876966358399
12,4.19,0.181663113006439,0.181663113006439,-0.0446490247581184
13,4.34,0.154139571768421,0.154139571768421,-0.0203231699989995
14,4.49,0.152000000000004,0.152000000000004,-0.00504657977812807
15,4.64,0.151000000000002,0.151000000000002,0.00512101506743313
16,4.8,0.158000000000004,0.158000000000004,0.0152917354993974
17,4.94,0.176744647105585,0.176744647105585,0.0360702334948639
18,5.13,0.215586353944201,0.215586353944201,0.0786861240426572
18.5,5.25,0.264580265096495,0.264580265096495,0.16618248792535
19,5.37,0.329513104054201,0.329513104054201,0.785858101116803
19.5,5.56,0.520310965176457,0.520310965176457,1.36340142501006
20.1,5.85,2.3086716500927,2.3086716500927,1.47732723636424
20.5,6.36,2.75404751659854,2.75404751659854,0.78329394934855
21,9.73,3.00780852783432,3.00780852783432,-0.739689054900664
21.5,10.44,2.01800000000019,2.01800000000019,-1.45421211459593
22,10.74,0.604000000000924,0.604000000000924,-1.4598144904007
22.5,10.9,0.320421494025317,0.320421494025317,-0.857977406760993
23,11.01,0.207061554825425,0.207061554825425,-0.221003238070727
23.6,11.11,0.154840959946275,0.154840959946275,-0.0980184071224524
24,11.16,0.129750753213857,0.129750753213857,-0.0576721833543472
25,11.27,0.0936145523710366,0.0936145523710366,-0.0304802199820037
26,11.34,0.0759999999999891,0.0759999999999891,-0.018411605879875
27,11.41,0.06099999999999,0.06099999999999,-0.0118371961884984
28,11.47,0.0539999999999968,0.0539999999999968,-0.00938571428572722
29,11.51,0.0454285714285309,0.0454285714285309,-0.00777346938781193
30,11.56,0.0368571428570651,0.0368571428570651,-0.00616122448989664
