ID, t, I
0, 0.000, 1707.0
1, 0.010, 1688.0
2, 0.020, 1684.0
3, 0.030, 1681.0
4, 0.040, 1684.0
5, 0.050, 1678.0
6, 0.060, 1680.0
7, 0.070, 1687.0
8, 0.080, 1685.0
9, 0.090, 1687.0
10, 0.100, 1686.0
11, 0.110, 1678.0
12, 0.120, 1684.0
13, 0.130, 1674.0
14, 0.140, 1677.0
15, 0.150, 1674.0
16, 0.160, 1676.0
17, 0.170, 1670.0
18, 0.180, 1666.0
19, 0.190, 1665.0
20, 0.200, 1663.0
21, 0.210, 1666.0
22, 0.220, 1667.0
23, 0.230, 1670.0
24, 0.240, 1671.0
25, 0.250, 1660.0
26, 0.260, 1677.0
27, 0.270, 1667.0
28, 0.280, 1665.0
29, 0.290, 1673.0
30, 0.300, 1674.0
31, 0.310, 1660.0
32, 0.320, 1670.0
33, 0.330, 1674.0
34, 0.340, 1675.0
35, 0.350, 1679.0
36, 0.360, 1684.0
37, 0.370, 1686.0
38, 0.380, 1689.0
39, 0.390, 1674.0
40, 0.400, 1684.0
41, 0.410, 1683.0
42, 0.420, 1686.0
43, 0.430, 1679.0
44, 0.440, 1680.0
45, 0.450, 1683.0
46, 0.460, 1689.0
47, 0.470, 1683.0
48, 0.480, 1682.0
49, 0.490, 1672.0
50, 0.500, 1670.0
51, 0.510, 1671.0
52, 0.520, 1668.0
53, 0.530, 1667.0
54, 0.540, 1668.0
55, 0.550, 1663.0
56, 0.560, 1660.0
57, 0.570, 1667.0
58, 0.580, 1667.0
59, 0.590, 1668.0
60, 0.600, 1661.0
61, 0.610, 1655.0
62, 0.620, 1676.0
63, 0.630, 1669.0
64, 0.640, 1671.0
65, 0.650, 1673.0
66, 0.660, 1677.0
67, 0.670, 1675.0
68, 0.680, 1682.0
69, 0.690, 1668.0
70, 0.700, 1680.0
71, 0.710, 1676.0
72, 0.720, 1678.0
73, 0.730, 1680.0
74, 0.740, 1683.0
75, 0.750, 1673.0
76, 0.760, 1685.0
77, 0.770, 1674.0
78, 0.780, 1678.0
79, 0.790, 1679.0
80, 0.800, 1680.0
81, 0.810, 1681.0
82, 0.820, 1680.0
83, 0.830, 1678.0
84, 0.840, 1675.0
85, 0.850, 1670.0
86, 0.860, 1664.0
87, 0.870, 1673.0
88, 0.880, 1680.0
89, 0.890, 1673.0
90, 0.900, 1671.0
91, 0.910, 1663.0
92, 0.920, 1664.0
93, 0.930, 1671.0
94, 0.940, 1675.0
95, 0.950, 1664.0
96, 0.960, 1667.0
97, 0.970, 1661.0
98, 0.980, 1670.0
99, 0.990, 1671.0
100, 1.000, 1668.0
101, 1.010, 1666.0
102, 1.020, 1672.0
103, 1.030, 1679.0
104, 1.040, 1679.0
105, 1.050, 1677.0
106, 1.060, 1677.0
107, 1.070, 1678.0
108, 1.080, 1680.0
109, 1.090, 1670.0
110, 1.100, 1679.0
111, 1.110, 1679.0
112, 1.120, 1687.0
113, 1.130, 1672.0
114, 1.140, 1670.0
115, 1.150, 1674.0
116, 1.160, 1679.0
117, 1.170, 1680.0
118, 1.180, 1676.0
119, 1.190, 1673.0
120, 1.200, 1678.0
121, 1.210, 1674.0
122, 1.220, 1673.0
123, 1.230, 1675.0
124, 1.240, 1672.0
125, 1.250, 1668.0
126, 1.260, 1663.0
127, 1.270, 1670.0
128, 1.280, 1661.0
129, 1.290, 1667.0
130, 1.300, 1667.0
131, 1.310, 1667.0
132, 1.320, 1676.0
133, 1.330, 1672.0
134, 1.340, 1675.0
135, 1.350, 1681.0
136, 1.360, 1675.0
137, 1.370, 1675.0
138, 1.380, 1678.0
139, 1.390, 1673.0
140, 1.400, 1683.0
141, 1.410, 1680.0
142, 1.420, 1687.0
143, 1.430, 1681.0
144, 1.440, 1685.0
145, 1.450, 1678.0
146, 1.460, 1679.0
147, 1.470, 1680.0
148, 1.480, 1682.0
149, 1.490, 1680.0
150, 1.500, 1678.0
151, 1.510, 1672.0
152, 1.520, 1686.0
153, 1.530, 1671.0
154, 1.540, 1667.0
155, 1.550, 1673.0
156, 1.560, 1670.0
157, 1.570, 1663.0
158, 1.580, 1676.0
159, 1.590, 1667.0
160, 1.600, 1677.0
161, 1.610, 1667.0
162, 1.620, 1665.0
163, 1.630, 1669.0
164, 1.640, 1673.0
165, 1.650, 1673.0
166, 1.660, 1668.0
167, 1.670, 1677.0
168, 1.680, 1681.0
169, 1.690, 1679.0
170, 1.700, 1681.0
171, 1.710, 1687.0
172, 1.720, 1685.0
173, 1.730, 1680.0
174, 1.740, 1680.0
175, 1.750, 1677.0
176, 1.760, 1682.0
177, 1.770, 1679.0
178, 1.780, 1681.0
179, 1.790, 1678.0
180, 1.800, 1671.0
181, 1.810, 1683.0
182, 1.820, 1682.0
183, 1.830, 1683.0
184, 1.840, 1685.0
185, 1.850, 1665.0
186, 1.860, 1668.0
187, 1.870, 1679.0
188, 1.880, 1673.0
189, 1.890, 1670.0
190, 1.900, 1673.0
191, 1.910, 1665.0
192, 1.920, 1664.0
193, 1.930, 1668.0
194, 1.940, 1669.0
195, 1.950, 1671.0
196, 1.960, 1677.0
197, 1.970, 1662.0
198, 1.980, 1677.0
199, 1.990, 1677.0
200, 2.000, 1672.0
201, 2.010, 1671.0
202, 2.020, 1689.0
203, 2.030, 1669.0
204, 2.040, 1676.0
205, 2.050, 1682.0
206, 2.060, 1685.0
207, 2.070, 1680.0
208, 2.080, 1688.0
209, 2.090, 1683.0
210, 2.100, 1690.0
211, 2.110, 1682.0
212, 2.120, 1680.0
213, 2.130, 1680.0
214, 2.140, 1687.0
215, 2.150, 1678.0
216, 2.160, 1683.0
217, 2.170, 1669.0
218, 2.180, 1675.0
219, 2.190, 1681.0
220, 2.200, 1680.0
221, 2.210, 1673.0
222, 2.220, 1670.0
223, 2.230, 1672.0
224, 2.240, 1670.0
225, 2.250, 1673.0
226, 2.260, 1667.0
227, 2.270, 1667.0
228, 2.280, 1679.0
229, 2.290, 1660.0
230, 2.300, 1664.0
231, 2.310, 1671.0
232, 2.320, 1669.0
233, 2.330, 1666.0
234, 2.340, 1668.0
235, 2.350, 1671.0
236, 2.360, 1677.0
237, 2.370, 1680.0
238, 2.380, 1683.0
239, 2.390, 1674.0
240, 2.400, 1680.0
241, 2.410, 1688.0
242, 2.420, 1684.0
243, 2.430, 1687.0
244, 2.440, 1680.0
245, 2.450, 1676.0
246, 2.460, 1685.0
247, 2.470, 1681.0
248, 2.480, 1681.0
249, 2.490, 1685.0
250, 2.500, 1680.0
251, 2.510, 1680.0
252, 2.520, 1684.0
253, 2.530, 1682.0
254, 2.540, 1685.0
255, 2.550, 1675.0
256, 2.560, 1676.0
257, 2.570, 1674.0
258, 2.580, 1681.0
259, 2.590, 1680.0
260, 2.600, 1681.0
261, 2.610, 1667.0
262, 2.620, 1682.0
263, 2.630, 1671.0
264, 2.640, 1678.0
265, 2.650, 1672.0
266, 2.660, 1673.0
267, 2.670, 1680.0
268, 2.680, 1671.0
269, 2.690, 1675.0
270, 2.700, 1676.0
271, 2.710, 1672.0
272, 2.720, 1681.0
273, 2.730, 1674.0
274, 2.740, 1677.0
275, 2.750, 1677.0
276, 2.760, 1680.0
277, 2.770, 1681.0
278, 2.780, 1687.0
279, 2.790, 1680.0
280, 2.800, 1677.0
281, 2.810, 1686.0
282, 2.820, 1689.0
283, 2.830, 1684.0
284, 2.840, 1685.0
285, 2.850, 1677.0
286, 2.860, 1679.0
287, 2.870, 1686.0
288, 2.880, 1678.0
289, 2.890, 1679.0
290, 2.900, 1672.0
291, 2.910, 1674.0
292, 2.920, 1673.0
293, 2.930, 1672.0
294, 2.940, 1679.0
295, 2.950, 1676.0
296, 2.960, 1671.0
297, 2.970, 1675.0
298, 2.980, 1674.0
299, 2.990, 1666.0
300, 3.000, 1678.0
301, 3.010, 1674.0
302, 3.020, 1669.0
303, 3.030, 1665.0
304, 3.040, 1667.0
305, 3.050, 1669.0
306, 3.060, 1670.0
307, 3.070, 1677.0
308, 3.080, 1673.0
309, 3.090, 1677.0
310, 3.100, 1682.0
311, 3.110, 1678.0
312, 3.120, 1681.0
313, 3.130, 1676.0
314, 3.140, 1680.0
315, 3.150, 1683.0
316, 3.160, 1680.0
317, 3.170, 1685.0
318, 3.180, 1692.0
319, 3.190, 1683.0
320, 3.200, 1687.0
321, 3.210, 1686.0
322, 3.220, 1691.0
323, 3.230, 1683.0
324, 3.240, 1678.0
325, 3.250, 1684.0
326, 3.260, 1674.0
327, 3.270, 1677.0
328, 3.280, 1677.0
329, 3.290, 1673.0
330, 3.300, 1673.0
331, 3.310, 1671.0
332, 3.320, 1669.0
333, 3.330, 1669.0
334, 3.340, 1680.0
335, 3.350, 1672.0
336, 3.360, 1671.0
337, 3.370, 1669.0
338, 3.380, 1669.0
339, 3.390, 1671.0
340, 3.400, 1668.0
341, 3.410, 1674.0
342, 3.420, 1675.0
343, 3.430, 1669.0
344, 3.440, 1673.0
345, 3.450, 1671.0
346, 3.460, 1668.0
347, 3.470, 1679.0
348, 3.480, 1681.0
349, 3.490, 1670.0
350, 3.500, 1677.0
351, 3.510, 1679.0
352, 3.520, 1686.0
353, 3.530, 1682.0
354, 3.540, 1677.0
355, 3.550, 1679.0
356, 3.560, 1682.0
357, 3.570, 1681.0
358, 3.580, 1687.0
359, 3.590, 1684.0
360, 3.600, 1678.0
361, 3.610, 1679.0
362, 3.620, 1685.0
363, 3.630, 1686.0
364, 3.640, 1680.0
365, 3.650, 1675.0
366, 3.660, 1678.0
367, 3.670, 1664.0
368, 3.680, 1671.0
369, 3.690, 1677.0
370, 3.700, 1676.0
